Vacant −− > Census year: 2018 || Block ID: 14 || Property ID: 103946 || Base property ID: 103946 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.963852 || Y coordinate: -37.817638 || Location: (-37.81763876, 144.9638509) || 
Vacant −− > Census year: 2018 || Block ID: 66 || Property ID: 105878 || Base property ID: 105878 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.965591 || Y coordinate: -37.812141 || Location: (-37.81214275, 144.9655866) || 
Vacant −− > Census year: 2018 || Block ID: 34 || Property ID: 105929 || Base property ID: 105929 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.963303 || Y coordinate: -37.815571 || Location: (-37.81556658, 144.9633005) || 
Vacant −− > Census year: 2018 || Block ID: 34 || Property ID: 103177 || Base property ID: 103177 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.963455 || Y coordinate: -37.815819 || Location: (-37.81582214, 144.9634518) || 
Vacant −− > Census year: 2018 || Block ID: 55 || Property ID: 105840 || Base property ID: 105840 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.964645 || Y coordinate: -37.812901 || Location: (-37.81289592, 144.9646491) || 
Vacant −− > Census year: 2018 || Block ID: 14 || Property ID: 104005 || Base property ID: 104005 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.963287 || Y coordinate: -37.818390 || Location: (-37.81838929, 144.9632936) || 
Vacant −− > Census year: 2018 || Block ID: 44 || Property ID: 597186 || Base property ID: 101146 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.962921 || Y coordinate: -37.814919 || Location: (-37.8149247, 144.9629215) || 
Vacant −− > Census year: 2018 || Block ID: 45 || Property ID: 101145 || Base property ID: 101145 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.963654 || Y coordinate: -37.814430 || Location: (-37.81443332, 144.9636607) || 
Vacant −− > Census year: 2018 || Block ID: 45 || Property ID: 105961 || Base property ID: 105961 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.964355 || Y coordinate: -37.814739 || Location: (-37.81473585, 144.9643479) || 
Vacant −− > Census year: 2018 || Block ID: 74 || Property ID: 105738 || Base property ID: 105738 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.960526 || Y coordinate: -37.812408 || Location: (-37.81240779, 144.9605307) || 
